id,likes,retweets,replies
1592487271848378370,0,0,0
1592487051479359489,0,0,0
1592487050250420224,0,0,0
1592486745849106438,0,0,0
1592486306864848897,0,0,1
1592485879800627200,0,0,0
1592485255201828865,0,0,0
1592483016378839041,1,0,0
1592481803029598209,1,0,0
1592480829904932864,1,1,0
1592480507475857408,0,0,0
1592476361855492101,1,0,0
1592474602785378304,0,0,0
1592471972646354945,0,0,0
1592471640268488706,0,0,0
1592470330341310468,0,0,0
1592469693495136257,0,0,1
1592469273964081154,0,0,0
1592469159828414464,0,0,0
1592464319098531840,0,0,1
1592463384444043267,0,0,0
1592459488287760386,0,0,0
1592458743975145478,11,3,1
1592456979200741377,1,0,1
1592453977530314752,11,4,0
1592453472971984896,14,6,0
1592452892862320645,0,0,0
1592451047351517184,0,0,0
1592449806127058944,0,0,0
1592449121922977794,1,1,0
1592447979092598785,0,0,0
1592446424159227904,0,0,0
1592446294609444864,0,0,0
1592441161490251777,0,0,0
1592440548534603776,0,0,0
1592440511062839298,0,0,0
1592440097227640833,0,0,0
1592439612827238401,0,0,0
1592437395475304448,0,0,0
1592435741375832064,0,0,0
1592435093330616321,0,0,0
1592433273359114240,1,1,0
1592430434658684930,0,0,0
1592429462607761410,2,0,1
1592428918300356609,0,1,0
1592428631342698496,1,0,0
1592427952993714176,0,0,0
1592427889852485632,2,1,0
1592427688853385216,0,0,0
1592427279849758720,0,0,0
1592427216029290497,0,1,0
1592420300310056961,0,0,0
1592420136623157250,0,0,0
1592419342876299265,0,0,0
1592418346892689408,0,0,0
1592415871791669248,0,2,0
1592413548843499520,0,0,0
1592413224473104384,14,2,1
1592413094038634496,2,1,1
1592412310618144769,1,0,0
1592412280163115014,0,0,0
1592411757402001409,2,1,0
1592411630343626752,0,0,0
1592410762026586112,1,0,0
1592410163440340992,1,0,0
1592408835754721280,0,0,0
1592407936869236736,1,1,0
1592406066431610880,0,0,0
1592405591808299010,0,0,0
1592404893146681346,0,0,0
1592400544634908672,0,0,0
1592399624249421825,0,0,0
1592399110099054593,0,0,0
1592395408705482752,4,0,1
1592395017376927745,1,0,0
1592394866813706241,0,0,0
1592392023449153536,1,0,1
1592391664911671297,1,0,1
1592391543330992128,0,0,0
1592391116007297024,1,0,1
1592390768416940033,3,0,1
1592373302529445889,0,0,0
1592368823264772096,2,0,0
1592354185516810243,0,0,0
1592318013763883008,1,1,0
1592317953147473920,0,0,0
1592298092921237504,1,0,0
1592290151086297088,0,0,0
1592279003909464069,0,0,0
1592277355967528960,0,0,0
1592276420331700225,1,0,1
1592275921561874432,4,3,0
1592273216659243008,0,0,0
1592271939518726145,0,0,0
1592270587409633280,0,0,0
1592268944236105729,0,0,0
1592268112199667716,0,0,0
1592265409033633795,1,0,1
1592262452191772672,0,0,0
1592256144470577152,2,0,0
1592254947860553728,0,0,0
1592254048471859201,0,0,0
1592249800694562817,1,0,1
1592247149148143616,1,1,0
1592246669290213377,0,0,0
1592245804324261889,10,1,1
1592242297386795015,12,1,4
1592236662280568840,1,1,0
1592234853046824961,1,0,0
1592233405647028224,0,0,0
1592228994883391488,0,0,0
1592228106160734208,0,0,0
1592224426355220481,11,3,0
1592224119927767045,2,0,2
1592220862559956993,3,0,0
1592216527050244097,1,0,0
1592215630920716288,0,0,0
1592215050370297856,1,1,1
1592214402346123264,0,0,0
1592212139787583488,0,0,0
1592205763388506112,35,4,1
1592202409828356096,0,0,0
1592201575023484936,4,0,0
1592200496114151424,0,0,0
1592200326282723328,0,0,0
1592199450012925953,0,0,0
1592198086310637568,0,0,0
1592196769307594753,10,1,0
1592194717110132736,0,0,0
1592193180375695360,2,0,0
1592191970390249475,0,0,0
1592190704880865280,1,0,1
1592190369235668992,16,5,1
1592189852350840839,3,0,0
1592189589598646273,0,0,0
1592189392718008322,2,0,1
1592188772740759552,0,0,0
1592188739727798272,2,0,0
1592186998449930242,1,0,1
1592186884268216325,0,0,0
1592185068319309824,1,2,0
1592182391409463296,4,1,0
1592176733243191296,3,0,0
1592175189986627586,0,0,0
1592173319687909377,4,0,0
1592171757594517504,0,0,0
1592168205673713665,4,1,0
1592165883744759808,0,0,0
1592164191091458050,1,0,0
1592164049323978752,17,4,2
1592161976834486275,0,0,0
1592161040443510785,1,0,1
1592159175001272321,0,0,0
1592158491124592643,0,0,0
1592157740012486657,0,0,0
1592156669618065409,0,0,0
1592154750589468672,4,0,0
1592152972703981568,0,1,0
1592149617436954627,0,0,0
1592149221083324418,0,0,0
1592148666424463361,0,0,0
1592147773025124353,0,0,0
1592146120234385410,0,0,0
1592142129681567745,1,0,0
1592141888697557000,0,0,1
1592140466006679555,4,1,0
1592140317750280194,0,0,0
